City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
587,Touros,BR,79.54,-5.1989,-35.4608,INN NEW HORIZON
588,Half Moon Bay,US,79.88,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
591,Sillanwali,PK,84.76,31.8261,72.5398,Channanpura
593,Sola,VU,80.2,-13.8833,167.55,Leumerus Bungalows
594,Kapoeta,SS,82.4,4.7717,33.5903,Eastgate Hotel
613,Salon,IN,82.85,26.0333,81.45,Fhation look garmenet
614,Olinda,BR,78.53,-8.0089,-34.8553,Flat Quatro Rodas Olinda
615,Marzuq,YE,82.36,14.4,46.4667,
617,Huttwil,CH,83.32,47.115,7.8621,Villa Lavendel
619,North Bend,US,80.92,43.4065,-124.2243,Red Lion Hotel Coos Bay
627,Butterworth,MY,80.64,5.3991,100.3638,Cititel Penang
636,Bayir,TR,82.92,37.2687,28.2167,Hotel Babadag
640,Chhuikhadan,IN,75.61,21.5333,80.9833,PWD Rest House
641,Salta,AR,79.57,-24.7859,-65.4117,Hotel Alejandro I
645,Muroto,JP,79.61,33.2833,134.15,Oota Ryokan
647,Qiongshan,CN,80.26,20.0058,110.3542,Sun City Restaurant
650,Uige,AO,77.05,-7.6087,15.0613,Hotel Catraio
654,Aitape,PG,77.0,-3.1374,142.3475,
655,Oistins,BB,81.52,13.0667,-59.5333,Butterfly Beach Hotel
658,Kattivakkam,IN,82.49,13.2167,80.3167,Euronova Freezer
668,Surenavan,AM,75.38,39.75,44.8,
669,Cottbus,DE,78.62,51.7667,14.3333,Spree-Waldhotel Cottbus
673,Uruzgan,AF,79.54,32.8333,66.0,
675,Deyang,CN,76.48,31.1302,104.382,Milletholly Resort Hotel
676,Shimoda,JP,78.1,34.6667,138.95,Shimoda Tokyu Hotel
680,Huilong,CN,82.92,31.8111,121.655,Hilton Garden Inn Qidong
682,Malakal,SS,78.21,9.5334,31.6605,Nile Palace Hotel
687,Gizo,SB,81.41,-8.103,156.8419,Imagination Island
690,Tezu,IN,75.65,27.9167,96.1667,Circuit House
