City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Mareeba,AU,2022-07-25 18:57:36,-17.0,145.4333,63.32,97,0,2.44
153,America Dourada,BR,2022-07-25 18:57:36,-11.4553,-41.4361,80.37,34,88,13.18
154,San Andres,CO,2022-07-25 18:57:37,12.5847,-81.7006,86.02,70,40,6.91
155,Bheramara,BD,2022-07-25 18:57:37,24.0232,88.9925,78.89,89,100,5.7
156,Paka,MY,2022-07-25 18:57:37,4.6374,103.4368,76.98,94,77,0.0
157,Harper,LR,2022-07-25 18:57:38,4.375,-7.7169,74.41,74,53,7.11
158,Cimarron Hills,US,2022-07-25 18:57:38,38.8586,-104.6989,84.88,36,40,14.97
159,Tomatlan,MX,2022-07-25 18:57:38,19.9333,-105.25,88.79,64,100,7.02
160,Joshimath,IN,2022-07-25 18:57:39,30.5667,79.5667,71.51,90,100,1.14
161,Sarangani,PH,2022-07-25 18:57:39,5.4033,125.4636,82.69,76,96,4.94
162,Pevek,RU,2022-07-25 18:57:40,69.7008,170.3133,35.58,82,94,5.86
163,Man,CI,2022-07-25 18:57:40,7.4125,-7.5538,73.89,80,41,2.17
164,Constantine,DZ,2022-07-25 18:57:40,36.365,6.6147,92.61,18,0,9.22
165,Butaritari,KI,2022-07-25 18:51:25,3.0707,172.7902,82.06,69,66,20.33
166,Clyde River,CA,2022-07-25 18:50:00,70.4692,-68.5914,44.83,87,75,4.61
167,Bathsheba,BB,2022-07-25 18:57:41,13.2167,-59.5167,86.61,95,40,13.8
168,Banda Aceh,ID,2022-07-25 18:55:02,5.5577,95.3222,76.87,84,100,7.34
169,Vila Franca Do Campo,PT,2022-07-25 18:50:06,37.7167,-25.4333,75.61,80,52,5.93
170,Dali,CN,2022-07-25 18:57:42,25.7,100.1833,62.13,92,98,4.29
171,Sao Filipe,CV,2022-07-25 18:57:42,14.8961,-24.4956,79.14,84,100,6.11
172,Misratah,LY,2022-07-25 18:57:43,32.3754,15.0925,82.58,65,0,11.52
173,Vaini,TO,2022-07-25 18:57:43,-21.2,-175.2,71.76,88,20,5.75
174,Codrington,AU,2022-07-25 18:48:52,-38.2667,141.9667,49.1,75,100,23.06
175,Arraial Do Cabo,BR,2022-07-25 18:44:44,-22.9661,-42.0278,80.56,78,0,19.57
176,Port Elizabeth,ZA,2022-07-25 18:48:45,-33.918,25.5701,59.29,73,0,16.11
177,Pozoblanco,ES,2022-07-25 18:57:44,38.3791,-4.8483,91.98,9,0,11.72
